eol_page_id,taxonomy_id,genus,species
1092829,2826,Cynorkis,henrici Schltr.
1092832,2831,Cynorkis,humbertii Bosser
1092849,2871,Cynorkis,monadenia H.
1092850,2873,Cynorkis,muscicola Bosser
1092865,2885,Cynorkis,peyrotii Bosser
1092866,2886,Cynorkis,pinguicularioides H.
1092869,2889,Cynorkis,pseudorolfei H.
1092879,2896,Cynorkis,rolfei Hochr.
1092881,2899,Cynorkis,rungweensis Schltr.
1092882,2900,Cynorkis,sacculata Schltr.
1092883,2901,Cynorkis,sagittata H.
1092884,2902,Cynorkis,sambiranoensis Schltr.
1092891,2911,Cynorkis,souegesii Bosser
1092895,2915,Cynorkis,stolonifera Schltr.
1092897,2918,Cynorkis,sylvatica Bosser
1092898,2919,Cynorkis,symoensii Geerinck
1092904,2927,Cynorkis,tristis Bosser
1092906,2930,Cynorkis,uncata Rolfe
1092909,2934,Cynorkis,usambarae Rolfe
1092914,2942,Cynorkis,zaratananae Schltr.
1092932,844,Cypripedium,acaule Aiton
1092935,845,Cypripedium,arietinum R.
1092936,846,Cypripedium,bardolphianum W.
1092937,847,Cypripedium,calceolus L.
1092938,848,Cypripedium,calcicola Schltr.
1092939,849,Cypripedium,californicum A.
1092940,850,Cypripedium,candidum Muhl.
1092943,852,Cypripedium,cordigerum D.
1092945,854,Cypripedium,dickinsonianum Hágsater
1092947,856,Cypripedium,fargesii Franch.
1092948,857,Cypripedium,farreri W.
1092950,859,Cypripedium,fasciolatum Franch.
1092951,860,Cypripedium,flavum P.
1092962,862,Cypripedium,forrestii P.
1092965,865,Cypripedium,guttatum Sw.
1092966,866,Cypripedium,henryi Rolfe
1092967,889,Cypripedium,shanxiense S.
1092968,891,Cypripedium,subtropicum S.
1092974,911,Cypripedium,yunnanense Franch.
1093049,27530,Cyrtopodium,brandonianum
1093051,27531,Cyrtopodium,cachimboense
1093112,27563,Cyrtopodium,parviflorum
1093146,4557,Dactylorhiza,aristata Fisch.
1093151,4567,Dactylorhiza,elata Poir.
1093152,4577,Dactylorhiza,euxina Nevski
1093522,14869,Degranvillea,dermaptera
1093834,16900,Dendrobium,acerosum
1093845,16913,Dendrobium,aduncum
1093887,17029,Dendrobium,bicameratum
1093889,17031,Dendrobium,bicaudatum
1093892,17037,Dendrobium,bifalce
1093893,7913,Dendrobium,bigibbum
1093966,17297,Dendrobium,discolor
1093986,17363,Dendrobium,farmeri
1094020,17507,Dendrobium,hornei
1094036,17536,Dendrobium,incurvum
1094046,17556,Dendrobium,isochiloides
1094047,17572,Dendrobium,johnsoniae
1094054,17787,Dendrobium,mooreanum
1094065,17823,Dendrobium,nebularum
1094072,17833,Dendrobium,nindii
1094075,17841,Dendrobium,nobile
1094086,17864,Dendrobium,ochreatum
1094093,17904,Dendrobium,palawense
1094117,17999,Dendrobium,poneroides
1094119,18006,Dendrobium,prasinum
1094136,18082,Dendrobium,rennellii
1094142,18136,Dendrobium,samoense
1094143,18154,Dendrobium,schuetzei
1094149,18166,Dendrobium,secundum
1094152,18173,Dendrobium,seranicum
1094165,18216,Dendrobium,spathulatum
1094181,18274,Dendrobium,sulcatum
1094186,18294,Dendrobium,taurinum
1094212,18413,Dendrobium,violaceoflavens
1094213,18416,Dendrobium,violascens
1094340,24789,Diaphananthe,acuta
1094344,24791,Diaphananthe,ceriflora
1094347,24793,Diaphananthe,dorotheae
1094519,1299,Disa,aequiloba Summerh.
1094534,1319,Disa,bodkinii Bolus
1094609,4673,Dactylorhiza,sambucina L.
1094630,1384,Disa,katangensis De
1094659,1410,Disa,nyikensis H.
1094700,1474,Disa,thodei Schltr.
1094751,1498,Disa,zimbabweensis H.
1094757,1162,Disperis,ankarensis H.
1094760,1169,Disperis,bifida P.
1094761,1170,Disperis,bodkinii Bolus
1094765,1177,Disperis,cardiophora Harv.
1094767,1181,Disperis,concinna Schltr.
1094768,1182,Disperis,cooperi Harv.
1094769,1183,Disperis,cordata Sw.
1094771,1185,Disperis,cucullata Sw.
1094772,1186,Disperis,decipiens Verdc.
1094773,1187,Disperis,dicerochila Summerh.
1094774,1188,Disperis,discifera H.
1094776,1191,Disperis,egregia Summerh.
1094777,1192,Disperis,elaphoceras Verdc.
1094778,1193,Disperis,erucifera H.
1094779,1195,Disperis,fanniniae Harv.
1094784,1200,Disperis,kamerunensis Schltr.
1094788,1205,Disperis,lanceana H.
1094789,1207,Disperis,latigaleata H.
1094792,1210,Disperis,macowanii Bolus
1094793,1211,Disperis,majungensis Schltr.
1094795,1214,Disperis,micrantha Lindl.
1094796,1215,Disperis,mildbraedii Schltr.
1094797,1216,Disperis,mozambicensis Schltr.
1094799,1219,Disperis,nemorosa Rendle
1094800,1220,Disperis,nitida Summerh.
1094801,1221,Disperis,oppositifolia Sm.
1094802,1223,Disperis,oxyglossa Bolus
1094803,1224,Disperis,paludosa Harv.
1094805,1226,Disperis,perrieri Schltr.
1094807,1229,Disperis,pusilla Verdc.
1094808,1230,Disperis,raiilabris Summerh.
1094810,1233,Disperis,renibractea Schltr.
1094814,1238,Disperis,thomensis Summerh.
