id,scientific_name,genus,species,author,synonyms,common_names,created_at,updated_at
1515,Satyrium bracteatum (L.f.) Thunb.,Satyrium,bracteatum L.f.,,,,2025-09-07 07:06:41.354564,2025-09-07 07:06:41.354567
1516,Satyrium breve Rolfe,Satyrium,breve Rolfe,,,,2025-09-07 07:06:41.395551,2025-09-07 07:06:41.395555
1517,Satyrium buchananii Schltr.,Satyrium,buchananii Schltr.,,,,2025-09-07 07:06:41.436955,2025-09-07 07:06:41.436959
1518,Satyrium candidum Lindl.,Satyrium,candidum Lindl.,,,,2025-09-07 07:06:41.476951,2025-09-07 07:06:41.476954
1519,Satyrium carneum (Dryand.) Sims,Satyrium,carneum Dryand.,,,,2025-09-07 07:06:41.520165,2025-09-07 07:06:41.520168
1520,Satyrium carsonii Rolfe,Satyrium,carsonii Rolfe,,,,2025-09-07 07:06:41.559695,2025-09-07 07:06:41.559698
1521,Satyrium cernuiflorum Castañeda-Zárate & van der Niet,Satyrium,cernuiflorum Castañeda-Zárate,,,,2025-09-07 07:06:41.599299,2025-09-07 07:06:41.599302
1522,Satyrium chlorocorys Rchb.f. ex Rolfe,Satyrium,chlorocorys Rchb.f.,,,,2025-09-07 07:06:41.638713,2025-09-07 07:06:41.638716
1523,Satyrium compactum Summerh.,Satyrium,compactum Summerh.,,,,2025-09-07 07:06:41.677832,2025-09-07 07:06:41.677835
1524,Satyrium comptum Summerh.,Satyrium,comptum Summerh.,,,,2025-09-07 07:06:41.718399,2025-09-07 07:06:41.718403
1525,Satyrium confusum Summerh.,Satyrium,confusum Summerh.,,,,2025-09-07 07:06:41.778988,2025-09-07 07:06:41.778991
1526,Satyrium coriifolium Sw.,Satyrium,coriifolium Sw.,,,,2025-09-07 07:06:41.818301,2025-09-07 07:06:41.818304
1527,Satyrium coriophoroides A. Rich.,Satyrium,coriophoroides A.,,,,2025-09-07 07:06:41.857812,2025-09-07 07:06:41.857814
1528,Satyrium crassicaule Rendle,Satyrium,crassicaule Rendle,,,,2025-09-07 07:06:41.897487,2025-09-07 07:06:41.89749
1529,Satyrium cristatum Sond.,Satyrium,cristatum Sond.,,,,2025-09-07 07:06:41.937146,2025-09-07 07:06:41.937148
1530,Satyrium cristatum Sond. var. longilabiatum A. V. Hall,Satyrium,cristatum Sond.,,,,2025-09-07 07:06:41.97691,2025-09-07 07:06:41.976913
1531,Satyrium ecalcaratum Schltr.,Satyrium,ecalcaratum Schltr.,,,,2025-09-07 07:06:42.016303,2025-09-07 07:06:42.016306
1532,Satyrium elongatum Rolfe,Satyrium,elongatum Rolfe,,,,2025-09-07 07:06:42.055586,2025-09-07 07:06:42.055589
1533,Satyrium erectum Sw.,Satyrium,erectum Sw.,,,,2025-09-07 07:06:42.094727,2025-09-07 07:06:42.09473
1534,Satyrium eurycalcaratum van der Niet,Satyrium,eurycalcaratum van,,,,2025-09-07 07:06:42.134148,2025-09-07 07:06:42.134151
1535,Satyrium fimbriatum Summerh.,Satyrium,fimbriatum Summerh.,,,,2025-09-07 07:06:42.173337,2025-09-07 07:06:42.17334
1536,Satyrium flavum la Croix,Satyrium,flavum la,,,,2025-09-07 07:06:42.212485,2025-09-07 07:06:42.212488
1537,Satyrium foliosum Sw.,Satyrium,foliosum Sw.,,,,2025-09-07 07:06:42.253727,2025-09-07 07:06:42.253731
1538,Satyrium hallackii ssp. hallackii Bolus,Satyrium,hallackii ssp.,,,,2025-09-07 07:06:42.294868,2025-09-07 07:06:42.294872
1539,Satyrium hallackii ssp. ballii (van der Niet & P. J. Cribb) van der Niet & P. J. Cribb,Satyrium,hallackii ssp.,,,,2025-09-07 07:06:42.334733,2025-09-07 07:06:42.334737
1540,Satyrium hallackii ssp. ocellatum (Bolus) A. V. Hall,Satyrium,hallackii ssp.,,,,2025-09-07 07:06:42.376816,2025-09-07 07:06:42.376819
1541,Satyrium humile Lindl.,Satyrium,humile Lindl.,,,,2025-09-07 07:06:42.419332,2025-09-07 07:06:42.419336
1542,Satyrium johnsonii Rolfe,Satyrium,johnsonii Rolfe,,,,2025-09-07 07:06:42.4586,2025-09-07 07:06:42.458603
1543,Satyrium kermesinum Kraenzl.,Satyrium,kermesinum Kraenzl.,,,,2025-09-07 07:06:42.498103,2025-09-07 07:06:42.498107
1544,Satyrium kitimboense Kraenzl.,Satyrium,kitimboense Kraenzl.,,,,2025-09-07 07:06:42.53719,2025-09-07 07:06:42.537194
1545,Satyrium ligulatum Lindl.,Satyrium,ligulatum Lindl.,,,,2025-09-07 07:06:42.575982,2025-09-07 07:06:42.575985
1546,Satyrium liltvedianum Niet,Satyrium,liltvedianum Niet,,,,2025-09-07 07:06:42.617822,2025-09-07 07:06:42.617826
1547,Satyrium longicauda Lindl.,Satyrium,longicauda Lindl.,,,,2025-09-07 07:06:42.661884,2025-09-07 07:06:42.661887
1548,Satyrium longicauda Lindl. var. jacottetianum (Kraenzl.) A. V. Hall,Satyrium,longicauda Lindl.,,,,2025-09-07 07:06:42.700804,2025-09-07 07:06:42.700807
1549,Satyrium longicolle Lindl.,Satyrium,longicolle Lindl.,,,,2025-09-07 07:06:42.760975,2025-09-07 07:06:42.760978
1550,Satyrium lupulinum Lindl.,Satyrium,lupulinum Lindl.,,,,2025-09-07 07:06:42.800322,2025-09-07 07:06:42.800325
1551,Satyrium macrophyllum Lindl.,Satyrium,macrophyllum Lindl.,,,,2025-09-07 07:06:42.839778,2025-09-07 07:06:42.839781
1552,Satyrium membranaceum Sw.,Satyrium,membranaceum Sw.,,,,2025-09-07 07:06:42.879072,2025-09-07 07:06:42.879074
1553,Satyrium microcorys Schltr.,Satyrium,microcorys Schltr.,,,,2025-09-07 07:06:42.918408,2025-09-07 07:06:42.918411
1554,Satyrium microrrhynchum Schltr.,Satyrium,microrrhynchum Schltr.,,,,2025-09-07 07:06:42.957587,2025-09-07 07:06:42.95759
1555,Satyrium mirum Summerh.,Satyrium,mirum Summerh.,,,,2025-09-07 07:06:42.996686,2025-09-07 07:06:42.996689
1556,Satyrium miserum Kraenzl.,Satyrium,miserum Kraenzl.,,,,2025-09-07 07:06:43.035932,2025-09-07 07:06:43.035934
1557,Satyrium monadenum Schltr.,Satyrium,monadenum Schltr.,,,,2025-09-07 07:06:43.075183,2025-09-07 07:06:43.075186
1558,Satyrium monophyllum Kraenzl.,Satyrium,monophyllum Kraenzl.,,,,2025-09-07 07:06:43.114415,2025-09-07 07:06:43.114418
1559,Satyrium muticum Lindl.,Satyrium,muticum Lindl.,,,,2025-09-07 07:06:43.153287,2025-09-07 07:06:43.153289
1560,Satyrium neglectum ssp. neglectum Schltr.,Satyrium,neglectum ssp.,,,,2025-09-07 07:06:43.19265,2025-09-07 07:06:43.192652
1561,Satyrium neglectum var. brevicalcar Summerh.,Satyrium,neglectum,,,,2025-09-07 07:06:43.231513,2025-09-07 07:06:43.231515
1562,Satyrium neglectum ssp. woodii (Schltr.) A. V. Hall,Satyrium,neglectum ssp.,,,,2025-09-07 07:06:43.27039,2025-09-07 07:06:43.270393
1563,Satyrium nepalense D. Don,Satyrium,nepalense D.,,,,2025-09-07 07:06:43.30948,2025-09-07 07:06:43.309501
1564,Satyrium nepalense D. Don var. ciliatum (Lindl.) Hook.f.,Satyrium,nepalense D.,,,,2025-09-07 07:06:43.357999,2025-09-07 07:06:43.358002
1565,Satyrium odorum Sond.,Satyrium,odorum Sond.,,,,2025-09-07 07:06:43.397898,2025-09-07 07:06:43.397901
1566,Satyrium oliganthum Schltr.,Satyrium,oliganthum Schltr.,,,,2025-09-07 07:06:43.437607,2025-09-07 07:06:43.437611
1567,Satyrium orbiculare Rolfe,Satyrium,orbiculare Rolfe,,,,2025-09-07 07:06:43.477048,2025-09-07 07:06:43.477051
1568,Satyrium outeniquense Schltr.,Satyrium,outeniquense Schltr.,,,,2025-09-07 07:06:43.51622,2025-09-07 07:06:43.516223
1569,Satyrium pallens S. D. Johnson & Kurzweil,Satyrium,pallens S.,,,,2025-09-07 07:06:43.555783,2025-09-07 07:06:43.555786
1570,Satyrium paludosum Rchb.f.,Satyrium,paludosum Rchb.f.,,,,2025-09-07 07:06:43.595387,2025-09-07 07:06:43.59539
1571,Satyrium parviflorum Sw.,Satyrium,parviflorum Sw.,,,,2025-09-07 07:06:43.634859,2025-09-07 07:06:43.634863
1572,Satyrium perrieri Schltr.,Satyrium,perrieri Schltr.,,,,2025-09-07 07:06:43.674294,2025-09-07 07:06:43.674296
1573,Satyrium princeae Kraenzl.,Satyrium,princeae Kraenzl.,,,,2025-09-07 07:06:43.713448,2025-09-07 07:06:43.713451
1574,Satyrium princeps Bolus,Satyrium,princeps Bolus,,,,2025-09-07 07:06:43.752902,2025-09-07 07:06:43.752905
1575,Satyrium pulchrum S. D. Johnson & Kurzweil,Satyrium,pulchrum S.,,,,2025-09-07 07:06:43.791773,2025-09-07 07:06:43.791776
1576,Satyrium pumilum Thunb.,Satyrium,pumilum Thunb.,,,,2025-09-07 07:06:43.831498,2025-09-07 07:06:43.8315
1577,Satyrium pygmaeum Sond.,Satyrium,pygmaeum Sond.,,,,2025-09-07 07:06:43.875216,2025-09-07 07:06:43.875219
1578,Satyrium retusum Lindl.,Satyrium,retusum Lindl.,,,,2025-09-07 07:06:43.914539,2025-09-07 07:06:43.914541
1579,Satyrium rhodanthum Schltr.,Satyrium,rhodanthum Schltr.,,,,2025-09-07 07:06:43.95854,2025-09-07 07:06:43.958543
1580,Satyrium rhynchanthoides Schltr.,Satyrium,rhynchanthoides Schltr.,,,,2025-09-07 07:06:43.997764,2025-09-07 07:06:43.997766
1581,Satyrium rhynchanthum Bol.,Satyrium,rhynchanthum Bol.,,,,2025-09-07 07:06:44.037157,2025-09-07 07:06:44.037159
1582,Satyrium riparium Rchb.f.,Satyrium,riparium Rchb.f.,,,,2025-09-07 07:06:44.076476,2025-09-07 07:06:44.076479
1583,Satyrium robustum Schltr.,Satyrium,robustum Schltr.,,,,2025-09-07 07:06:44.115704,2025-09-07 07:06:44.115707
1584,Satyrium rostratum Lindl.,Satyrium,rostratum Lindl.,,,,2025-09-07 07:06:44.155012,2025-09-07 07:06:44.155014
1585,Satyrium rupestre Schltr.,Satyrium,rupestre Schltr.,,,,2025-09-07 07:06:44.194354,2025-09-07 07:06:44.194356
1586,Satyrium sceptrum Schltr.,Satyrium,sceptrum Schltr.,,,,2025-09-07 07:06:44.233939,2025-09-07 07:06:44.233955
1587,Satyrium schimperi Hochst. ex A. Rich.,Satyrium,schimperi Hochst.,,,,2025-09-07 07:06:44.274425,2025-09-07 07:06:44.274428
1588,Satyrium shirense Rolfe,Satyrium,shirense Rolfe,,,,2025-09-07 07:06:44.314389,2025-09-07 07:06:44.314392
1589,Satyrium situsanguinum van der Niet & Liltved,Satyrium,situsanguinum van,,,,2025-09-07 07:06:44.353928,2025-09-07 07:06:44.353931
1590,Satyrium sphaeranthum Schltr.,Satyrium,sphaeranthum Schltr.,,,,2025-09-07 07:06:44.393645,2025-09-07 07:06:44.393648
1591,Satyrium sphaerocarpum Lindl.,Satyrium,sphaerocarpum Lindl.,,,,2025-09-07 07:06:44.433949,2025-09-07 07:06:44.433952
1592,Satyrium stenopetalum ssp. stenopetalum Lindl.,Satyrium,stenopetalum ssp.,,,,2025-09-07 07:06:44.477561,2025-09-07 07:06:44.477565
1593,Satyrium stenopetalum ssp. brevicalcaratum (Bolus) A. V. Hall,Satyrium,stenopetalum ssp.,,,,2025-09-07 07:06:44.526761,2025-09-07 07:06:44.526764
1594,Satyrium striatum Thunb.,Satyrium,striatum Thunb.,,,,2025-09-07 07:06:44.56706,2025-09-07 07:06:44.567063
1595,Satyrium trinerve Lindl.,Satyrium,trinerve Lindl.,,,,2025-09-07 07:06:44.607076,2025-09-07 07:06:44.60708
1596,Satyrium volkensii Schltr.,Satyrium,volkensii Schltr.,,,,2025-09-07 07:06:44.647623,2025-09-07 07:06:44.647627
1597,Satyrium welwitschii Rchb.f.,Satyrium,welwitschii Rchb.f.,,,,2025-09-07 07:06:44.687343,2025-09-07 07:06:44.687345
1598,Satyrium x fibeckii Phiri,Satyrium,x fibeckii,,,,2025-09-07 07:06:44.728327,2025-09-07 07:06:44.728329
1599,Satyrium x guthriei Bolus.,Satyrium,x guthriei,,,,2025-09-07 07:06:44.771395,2025-09-07 07:06:44.771398
1600,Satyrium yunnanense ssp. yunnanense Rolfe,Satyrium,yunnanense ssp.,,,,2025-09-07 07:06:44.811447,2025-09-07 07:06:44.81145
1601,Satyrium yunnanense ssp. longispicum Kurzweil & Suksathan,Satyrium,yunnanense ssp.,,,,2025-09-07 07:06:44.851309,2025-09-07 07:06:44.851312
1602,Herminium L.,Herminium,L.,,,,2025-09-07 07:06:44.896967,2025-09-07 07:06:44.89697
1603,Herminium alaschanicum Maxim.,Herminium,alaschanicum Maxim.,,,,2025-09-07 07:06:44.937303,2025-09-07 07:06:44.937306
1604,Herminium albomarginatum (King) X. H. Jin,Herminium,albomarginatum King,,,,2025-09-07 07:06:44.977491,2025-09-07 07:06:44.977494
1605,Herminium albosanguineum (Renz) X. H. Jin,Herminium,albosanguineum Renz,,,,2025-09-07 07:06:45.017,2025-09-07 07:06:45.017004
1606,Herminium albovirens (Renz) X. H. Jin,Herminium,albovirens Renz,,,,2025-09-07 07:06:45.057043,2025-09-07 07:06:45.057046
1607,Herminium biporosum Maxim.,Herminium,biporosum Maxim.,,,,2025-09-07 07:06:45.096503,2025-09-07 07:06:45.096506
1608,Herminium bulleyi (Rolfe) Tang & F. T. Wang,Herminium,bulleyi Rolfe,,,,2025-09-07 07:06:45.135585,2025-09-07 07:06:45.135588
1609,Herminium chloranthum Tang & F. T. Wang,Herminium,chloranthum Tang,,,,2025-09-07 07:06:45.177096,2025-09-07 07:06:45.177097
1610,Herminium clavigerum (Lindl.) X. H. Jin,Herminium,clavigerum Lindl.,,,,2025-09-07 07:06:45.22243,2025-09-07 07:06:45.222432
1611,Herminium coeloceras (Finet) Schltr.,Herminium,coeloceras Finet,,,,2025-09-07 07:06:45.261653,2025-09-07 07:06:45.261656
1612,Herminium coiloglossum Schltr.,Herminium,coiloglossum Schltr.,,,,2025-09-07 07:06:45.300693,2025-09-07 07:06:45.300697
1613,Herminium ecalcaratum (Finet) Schltr.,Herminium,ecalcaratum Finet,,,,2025-09-07 07:06:45.339623,2025-09-07 07:06:45.339627
1614,Herminium edgeworthii (Hook.f. ex Collett) X. H. Jin,Herminium,edgeworthii Hook.f.,,,,2025-09-07 07:06:45.37869,2025-09-07 07:06:45.378692
1615,Herminium elisabethae (Duthie) Tang & F. T. Wang,Herminium,elisabethae Duthie,,,,2025-09-07 07:06:45.41778,2025-09-07 07:06:45.417784
1616,Herminium fallax (Lindl. ex Wall.) Hook.f.,Herminium,fallax Lindl.,,,,2025-09-07 07:06:45.457167,2025-09-07 07:06:45.45717
1617,Herminium fimbriatum (Raskoti) X. H. Jin,Herminium,fimbriatum Raskoti,,,,2025-09-07 07:06:45.496547,2025-09-07 07:06:45.49655
1618,Herminium forceps (Finet) Schltr.,Herminium,forceps Finet,,,,2025-09-07 07:06:45.536159,2025-09-07 07:06:45.536162
1619,Herminium glossophyllum Tang & F. T. Wang,Herminium,glossophyllum Tang,,,,2025-09-07 07:06:45.575695,2025-09-07 07:06:45.575699
1620,Herminium gongshanense X. H. Jin,Herminium,gongshanense X.,,,,2025-09-07 07:06:45.620778,2025-09-07 07:06:45.620781
1621,Herminium gracile King & Pantl.,Herminium,gracile King,,,,2025-09-07 07:06:45.670546,2025-09-07 07:06:45.670549
1622,Herminium handelii X. H. Jin,Herminium,handelii X.,,,,2025-09-07 07:06:45.71019,2025-09-07 07:06:45.710194
1623,Herminium himalayanum (Renz) X. H. Jin,Herminium,himalayanum Renz,,,,2025-09-07 07:06:45.749626,2025-09-07 07:06:45.74963
1624,Herminium hongdeyuanii Raskoti,Herminium,hongdeyuanii Raskoti,,,,2025-09-07 07:06:45.788986,2025-09-07 07:06:45.78899
1625,Herminium humidicola (K. Y. Lang & D. S. Deng) X. H. Jin,Herminium,humidicola K.,,,,2025-09-07 07:06:45.828328,2025-09-07 07:06:45.828332
1626,Herminium jaffreyanum King & Pantl.,Herminium,jaffreyanum King,,,,2025-09-07 07:06:45.867864,2025-09-07 07:06:45.867867
1627,Herminium josephi Rchb.f.,Herminium,josephi Rchb.f.,,,,2025-09-07 07:06:45.906983,2025-09-07 07:06:45.906986
1628,Herminium kalimpongensis Pradhan,Herminium,kalimpongensis Pradhan,,,,2025-09-07 07:06:45.946267,2025-09-07 07:06:45.94627
1629,Herminium kamengense A. N. Rao,Herminium,kamengense A.,,,,2025-09-07 07:06:45.994368,2025-09-07 07:06:45.994371
1630,Herminium kumaunense Deva & H. B. Naithani,Herminium,kumaunense Deva,,,,2025-09-07 07:06:46.033565,2025-09-07 07:06:46.033568
1631,Herminium lanceum (Thunb. ex Sw.) Vuijk,Herminium,lanceum Thunb.,,,,2025-09-07 07:06:46.073905,2025-09-07 07:06:46.073909
1632,Herminium latilabre (Lindl.) X. H. Jin,Herminium,latilabre Lindl.,,,,2025-09-07 07:06:46.115641,2025-09-07 07:06:46.115644
1633,Herminium lijiangense J. D. Ya & C. Liu,Herminium,lijiangense J.,,,,2025-09-07 07:06:46.159547,2025-09-07 07:06:46.15955
1634,Herminium longilobatum S. N. Hegde & A. N. Rao,Herminium,longilobatum S.,,,,2025-09-07 07:06:46.199745,2025-09-07 07:06:46.199749
1635,Herminium mackinonii Duthie,Herminium,mackinonii Duthie,,,,2025-09-07 07:06:46.25245,2025-09-07 07:06:46.252452
1636,Herminium macrophyllum (D. Don) Dandy,Herminium,macrophyllum D.,,,,2025-09-07 07:06:46.291776,2025-09-07 07:06:46.291779
1637,Herminium mannii (Rchb.f.) Tang & F. T. Wang,Herminium,mannii Rchb.f.,,,,2025-09-07 07:06:46.332049,2025-09-07 07:06:46.332052
1638,Herminium monophyllum (D. Don) P. F. Hunt & Summerh.,Herminium,monophyllum D.,,,,2025-09-07 07:06:46.371527,2025-09-07 07:06:46.37153
1639,Herminium monorchis (L.) R. Br.,Herminium,monorchis L.,,,,2025-09-07 07:06:46.41235,2025-09-07 07:06:46.412352
1640,Herminium motuoense X. H. Jin,Herminium,motuoense X.,,,,2025-09-07 07:06:46.45449,2025-09-07 07:06:46.454493
1641,Herminium neotineoides Ames & Schltr.,Herminium,neotineoides Ames,,,,2025-09-07 07:06:46.496459,2025-09-07 07:06:46.496462
1642,Herminium ophioglossoides Schltr.,Herminium,ophioglossoides Schltr.,,,,2025-09-07 07:06:46.539883,2025-09-07 07:06:46.539887
1643,Herminium oxysepalum (K. Y. Lang) X. H. Jin,Herminium,oxysepalum K.,,,,2025-09-07 07:06:46.579605,2025-09-07 07:06:46.579609
1644,Herminium pugioniforme Lindl. ex Hook.f.,Herminium,pugioniforme Lindl.,,,,2025-09-07 07:06:46.619529,2025-09-07 07:06:46.619533
1645,Herminium pusillum Ohwi & Fukuy.,Herminium,pusillum Ohwi,,,,2025-09-07 07:06:46.659843,2025-09-07 07:06:46.659846
1646,Herminium pygmaeum Renz,Herminium,pygmaeum Renz,,,,2025-09-07 07:06:46.69938,2025-09-07 07:06:46.699383
1647,Herminium quinquelobum King & Pantl.,Herminium,quinquelobum King,,,,2025-09-07 07:06:46.740421,2025-09-07 07:06:46.740424
1648,Herminium singulum Tang & F. T. Wang,Herminium,singulum Tang,,,,2025-09-07 07:06:46.780869,2025-09-07 07:06:46.780872
1649,Herminium souliei (Finet) Rolfe,Herminium,souliei Finet,,,,2025-09-07 07:06:46.820712,2025-09-07 07:06:46.820715
1650,Herminium suave Tang & F. T. Wang,Herminium,suave Tang,,,,2025-09-07 07:06:46.860282,2025-09-07 07:06:46.860285
1651,Herminium tangianum (S. Y. Hu) K. Y. Lang,Herminium,tangianum S.,,,,2025-09-07 07:06:46.89986,2025-09-07 07:06:46.899862
1652,Herminium tibeticum X. H. Jin,Herminium,tibeticum X.,,,,2025-09-07 07:06:46.939518,2025-09-07 07:06:46.939522
1653,Herminium wangianum X. H. Jin,Herminium,wangianum X.,,,,2025-09-07 07:06:46.979675,2025-09-07 07:06:46.979678
1654,Herminium yunnanense Rolfe,Herminium,yunnanense Rolfe,,,,2025-09-07 07:06:47.020111,2025-09-07 07:06:47.020113
1655,Hsenhsua X. H. Jin,Hsenhsua,X. H.,,,,2025-09-07 07:06:47.060482,2025-09-07 07:06:47.060486
1656,Hsenhsua chrysea (W. W. Sm.) X. H. Jin,Hsenhsua,chrysea W.,,,,2025-09-07 07:06:47.100392,2025-09-07 07:06:47.100396
1657,Tylostigma Schltr.,Tylostigma,Schltr.,,,,2025-09-07 07:06:47.142656,2025-09-07 07:06:47.14266
1658,Tylostigma filiforme ssp. filiforme H. Perrier,Tylostigma,filiforme ssp.,,,,2025-09-07 07:06:47.182512,2025-09-07 07:06:47.182516
1659,Tylostigma filiforme ssp. bursiferum H. Perrier,Tylostigma,filiforme ssp.,,,,2025-09-07 07:06:47.222397,2025-09-07 07:06:47.222401
1660,Tylostigma foliosum Schltr.,Tylostigma,foliosum Schltr.,,,,2025-09-07 07:06:47.262536,2025-09-07 07:06:47.262539
1661,Tylostigma herminioides Schltr.,Tylostigma,herminioides Schltr.,,,,2025-09-07 07:06:47.303515,2025-09-07 07:06:47.303518
1662,Tylostigma hildebrandtii Schltr.,Tylostigma,hildebrandtii Schltr.,,,,2025-09-07 07:06:47.343109,2025-09-07 07:06:47.343112
1663,Tylostigma madagascariense Schltr.,Tylostigma,madagascariense Schltr.,,,,2025-09-07 07:06:47.382929,2025-09-07 07:06:47.382931
1664,Tylostigma nigrescens Schltr.,Tylostigma,nigrescens Schltr.,,,,2025-09-07 07:06:47.422451,2025-09-07 07:06:47.422454
1665,Tylostigma perrieri Schltr.,Tylostigma,perrieri Schltr.,,,,2025-09-07 07:06:47.461737,2025-09-07 07:06:47.461739
1666,Tylostigma tenellum Schltr.,Tylostigma,tenellum Schltr.,,,,2025-09-07 07:06:47.501007,2025-09-07 07:06:47.50101
1667,Oligophyton H. P. Linder,Oligophyton,H. P.,,,,2025-09-07 07:06:47.540602,2025-09-07 07:06:47.540604
1668,Oligophyton drummondii H. P. Linder & G. Will.,Oligophyton,drummondii H.,,,,2025-09-07 07:06:47.580502,2025-09-07 07:06:47.580505
1669,Benthamia A. Rich.,Benthamia,A. Rich.,,,,2025-09-07 07:06:47.620222,2025-09-07 07:06:47.620224
1670,Benthamia africana (Lindl.) Hermans,Benthamia,africana Lindl.,,,,2025-09-07 07:06:47.661002,2025-09-07 07:06:47.661005
1671,Benthamia bathieana Schltr.,Benthamia,bathieana Schltr.,,,,2025-09-07 07:06:47.701051,2025-09-07 07:06:47.701054
1672,Benthamia boiteaui Hervouet,Benthamia,boiteaui Hervouet,,,,2025-09-07 07:06:47.745304,2025-09-07 07:06:47.745311
1673,Benthamia bosseri Hervouet,Benthamia,bosseri Hervouet,,,,2025-09-07 07:06:47.785286,2025-09-07 07:06:47.78529
1674,Benthamia calceolata H. Perrier,Benthamia,calceolata H.,,,,2025-09-07 07:06:47.825767,2025-09-07 07:06:47.825771
1675,Benthamia catatiana H. Perrier,Benthamia,catatiana H.,,,,2025-09-07 07:06:47.866933,2025-09-07 07:06:47.866937
1676,Benthamia cuspidata H. Perrier,Benthamia,cuspidata H.,,,,2025-09-07 07:06:47.90631,2025-09-07 07:06:47.906312
1677,Benthamia dauphinensis (Rolfe) Schltr.,Benthamia,dauphinensis Rolfe,,,,2025-09-07 07:06:47.945776,2025-09-07 07:06:47.945779
1678,Benthamia elata Schltr.,Benthamia,elata Schltr.,,,,2025-09-07 07:06:47.98558,2025-09-07 07:06:47.985583
1679,Benthamia erinacea (Cordem.) Hermans & P. J. Cribb,Benthamia,erinacea Cordem.,,,,2025-09-07 07:06:48.025374,2025-09-07 07:06:48.025377
1680,Benthamia exilis Schltr.,Benthamia,exilis Schltr.,,,,2025-09-07 07:06:48.065016,2025-09-07 07:06:48.065019
1681,Benthamia exilis Schltr. var. tenuissima Schltr.,Benthamia,exilis Schltr.,,,,2025-09-07 07:06:48.104916,2025-09-07 07:06:48.10492
1682,Benthamia glaberrima (Ridl.) H. Perrier,Benthamia,glaberrima Ridl.,,,,2025-09-07 07:06:48.14739,2025-09-07 07:06:48.147393
1683,Benthamia herminioides ssp. herminioides Schltr.,Benthamia,herminioides ssp.,,,,2025-09-07 07:06:48.186868,2025-09-07 07:06:48.186871
1684,Benthamia herminioides ssp. angustifolia H. Perrier,Benthamia,herminioides ssp.,,,,2025-09-07 07:06:48.230931,2025-09-07 07:06:48.230935
1685,Benthamia herminioides ssp. arcuata H. Perrier,Benthamia,herminioides ssp.,,,,2025-09-07 07:06:48.275327,2025-09-07 07:06:48.275331
1686,Benthamia herminioides ssp. intermedia H. Perrier,Benthamia,herminioides ssp.,,,,2025-09-07 07:06:48.315383,2025-09-07 07:06:48.315387
1687,Benthamia humbertii H. Perrier,Benthamia,humbertii H.,,,,2025-09-07 07:06:48.35546,2025-09-07 07:06:48.355462
1688,Benthamia latisatis (Thouars) Bytebier,Benthamia,latisatis Thouars,,,,2025-09-07 07:06:48.395059,2025-09-07 07:06:48.395062
1689,Benthamia longecalceata H. Perrier,Benthamia,longecalceata H.,,,,2025-09-07 07:06:48.434362,2025-09-07 07:06:48.434365
1690,Benthamia macra Schltr.,Benthamia,macra Schltr.,,,,2025-09-07 07:06:48.474528,2025-09-07 07:06:48.474531
1691,Benthamia madagascariensis Schltr.,Benthamia,madagascariensis Schltr.,,,,2025-09-07 07:06:48.51396,2025-09-07 07:06:48.513963
1692,Benthamia majoriflora H. Perrier,Benthamia,majoriflora H.,,,,2025-09-07 07:06:48.55338,2025-09-07 07:06:48.553383
1693,Benthamia melanopoda Schltr.,Benthamia,melanopoda Schltr.,,,,2025-09-07 07:06:48.592503,2025-09-07 07:06:48.592506
1694,Benthamia misera (Ridl.) Schltr.,Benthamia,misera Ridl.,,,,2025-09-07 07:06:48.631949,2025-09-07 07:06:48.631952
1695,Benthamia monophylla Schltr.,Benthamia,monophylla Schltr.,,,,2025-09-07 07:06:48.670911,2025-09-07 07:06:48.670919
1696,Benthamia nigrovaginata H. Perrier,Benthamia,nigrovaginata H.,,,,2025-09-07 07:06:48.710635,2025-09-07 07:06:48.710639
1697,Benthamia nivea ssp. nivea Schltr.,Benthamia,nivea ssp.,,,,2025-09-07 07:06:48.750507,2025-09-07 07:06:48.750509
1698,Benthamia nivea ssp. parviflora H. Perrier,Benthamia,nivea ssp.,,,,2025-09-07 07:06:48.789893,2025-09-07 07:06:48.789895
1699,Benthamia perfecunda H. Perrier,Benthamia,perfecunda H.,,,,2025-09-07 07:06:48.82913,2025-09-07 07:06:48.829133
1700,Benthamia perularioides Schltr.,Benthamia,perularioides Schltr.,,,,2025-09-07 07:06:48.870098,2025-09-07 07:06:48.870101
1701,Benthamia praecox Schltr.,Benthamia,praecox Schltr.,,,,2025-09-07 07:06:48.90986,2025-09-07 07:06:48.909863
1702,Benthamia procera Schltr.,Benthamia,procera Schltr.,,,,2025-09-07 07:06:48.94916,2025-09-07 07:06:48.949163
1703,Benthamia rostrata Schltr.,Benthamia,rostrata Schltr.,,,,2025-09-07 07:06:48.988779,2025-09-07 07:06:48.988782
1704,Benthamia spiraloides (Cordem.) Hermans & P. J. Cribb,Benthamia,spiraloides Cordem.,,,,2025-09-07 07:06:49.032016,2025-09-07 07:06:49.032019
1705,Benthamia verecunda Schltr.,Benthamia,verecunda Schltr.,,,,2025-09-07 07:06:49.072586,2025-09-07 07:06:49.072589
1706,Pecteilis Raf.,Pecteilis,Raf.,,,,2025-09-07 07:06:49.111979,2025-09-07 07:06:49.111982
