genus,species_count
Homalopetalum,9
Broughtonia,9
Hylophila,9
Madisonia,9
Cleisocentron,9
Ionopsis,9
Zygosepalum,9
Chaubardiella,9
Ixyophora,9
Oberonioides,9
Ceratandra,9
Roeperocharis,9
Sacoila,9
Megastylis,8
Danhatchia,8
Dimerandra,8
Draconanthes,8
Cremastra,8
Erycina,8
Galeoglossum,8
Coenoemersa,8
Cleistesiopsis,8
Cirrhaea,8
Kylicanthe,8
Neobathiea,8
Neotinea,8
Pendusalpinx,8
Poaephyllum,8
Pogonia,8
Beloglottis,8
Quekettia,8
Aspasia,8
Stenoglottis,8
Stenoptera,8
Altensteinia,8
Uncifera,8
Solenocentrum,7
Cyrtostylis,7
Orleanesia,7
Nemaconia,7
xPseudorhiza,7
Galeola,7
Miltoniopsis,7
Schlimia,7
Constantia,7
Jejewoodia,7
Epipogium,7
Phloeophila,7
Sarcanthopsis,7
Tipularia,7
Ania,7
Trevoria,7
Diodonopsis,7
Calymmanthera,7
Chamaegastrodia,7
Solenangis,7
Yoania,6
Plectorrhiza,6
Bletilla,6
Mesadenus,6
Systeloglossum,6
Silvorchis,6
Domingoa,6
Dienia,6
Chondrorhyncha,6
Eriopsis,6
Pterostemma,6
Arpophyllum,6
Dilomilis,6
Batemannia,6
Oeonia,6
Daiotyla,6
Coelia,6
Chroniochilus,6
Caluera,6
Pyrorchis,6
Neobolusia,6
Calopogon,6
Echinorhyncha,6
Orchipedum,6
Dryadorchis,6
Evotella,6
Grobya,6
Cephalantheropsis,6
xBrassocattleya,6
Paraphalaenopsis,6
Pabstia,6
xOrchidactylorhiza,6
Huttonaea,6
Guarianthe,6
Lycomormium,6
Oestlundia,5
Pseudorchis,5
Psychopsis,5
Auxopus,5
Kegeliella,5
Quisqueya,5
Sobennikoffia,5
Eurycentrum,5
Warreopsis,5
Cryptopus,5
Warmingia,5
Saccolabium,5
Campanulorchis,5
Odontorrhynchus,5
Chamaeanthus,5
Vitekorchis,5
Chrysoglossum,5
Dinklageella,5
xDactylitella,5
Callostylis,5
Isabelia,5
Orestias,5
Veyretella,5
xDactylanthera,5
Buchtienia,5
Uleiorchis,5
Diplomeris,5
Aganisia,5
Paradisanthus,5
Monophyllorchis,5
Lemurella,5
Townsonia,5
Helonoma,5
Thunia,5
Bolusiella,5
Tamayorkis,5
Strongyleria,5
Graphorkis,5
xPseuditella,5
Calyptrochilum,4
Cochleanthes,4
Centrostigma,4
Sarcophyton,4
Thysanoglossa,4
Clematepistephium,4
Pheladenia,4
Sarcorhynchus,4
Sphyrarhynchus,4
Gennaria,4
Seegeriella,4
Chytroglossa,4
Physogyne,4
Cryptarrhena,4
Gonatostylis,4
Elythranthera,4
Amesiella,4
Dracomonticola,4
Ludisia,4
Rhynchostylis,4
Smithsonia,4
Warrea,4
Svenkoeltzia,4
Halleorchis,4
Smitinandia,4
Atopoglossum,4
Cyanaeorchis,4
Bidoupia,4
xOrchimantoglossum,4
Podangis,4
Restrepiella,4
Danxiaorchis,4
xGymnanacamptis,4
Greenwoodiella,4
Chaubardia,4
Rauhiella,4
xPseudadenia,4
Achlydosa,4
Aporostylis,4
xNeotinacamptis,4
Ecuadorella,4
Lueddemannia,4
Pachystoma,4
Pachyplectron,4
Eggelingia,4
Diglyphosa,4
Cymbilabia,4
Solenidium,4
Cyrtochiloides,4
Vargasiella,4
Praecoxanthus,4
Hofmeisterella,4
Triceratorhynchus,4
Aziza,4
Ipsea,4
Limodorum,3
Changnienia,3
Manniella,3
Meiracyllium,3
Mexipedium,3
Lacaena,3
Neocogniauxia,3
Caularthron,3
Kipandiorchis,3
Nephrangis,3
Kionophyton,3
Nidema,3
Nothostele,3
Claderia,3
Oeoniella,3
Oligophyton,3
Omoea,3
Isotria,3
Opilionanthe,3
Orthoceras,3
Otostylis,3
Pachites,3
Paraholcoglossum,3
Cleisomeria,3
xOrchigymnadenia,3
Hoehneella,3
Cleisostomopsis,3
Helleriella,3
Hederorkis,3
Hagsatera,3
Pogoniopsis,3
Ponera,3
Beclardia,3
Porphyrostachys,3
Porrorhachis,3
Grammangis,3
Codonorchis,3
Bambuseria,3
Pseudogoodyera,3
Galeottiella,3
Frondaria,3
Pygmaeorchis,3
Eurychone,3
Rhynchogyna,3
Rhyncholaelia,3
Euryblema,3
Espinhassoa,3
Erythrorchis,3
Sanderella,3
Sansonia,3
Seidenfadeniella,3
Epiblema,3
Ephippianthus,3
Sirhookera,3
Embreea,3
Steveniella,3
Dyakia,3
Summerhayesia,3
Sutrina,3
Ancistrochilus,3
Amoana,3
Thecopus,3
Traunsteinera,3
Discyphus,3
Cypholoron,3
Aenhenrya,3
Diploprora,3
Adenochilus,3
Diplocentrum,3
Dactylostalix,3
Vandopsis,3
Dinema,3
Warreella,3
Wullschlaegelia,3
Xerorchis,3
xCephalopactis,3
xGymplatanthera,3
xHolcosia,3
Lyperanthus,3
Lyroglossa,3
Fuertesiella,2
Dichromanthus,2
Mobilabium,2
Risleya,2
Rimacola,2
xAckersteinia,2
Diceratostele,2
Ridleyella,2
xPseudanthera,2
Rhinerrhiza,2
Quechua,2
Pupulinia,2
Cooktownia,2
Sophronitella,2
Soterosanthus,2
Sotoa,2
Aplectrum,2
Eleorchis,2
Psychopsiella,2
Spiculaea,2
Anthogonium,2
Ansellia,2
Coilochilus,2
Stellamaris,2
Coeliopsis,2
Pridgeonia,2
Porphyroglottis,2
Eclecticus,2
Gravendeelia,2
Stereosandra,2
Lemurorchis,2
Listrostachys,2
xOrchiplatanthera,2
Polyotidium,2
xSerapirhiza,2
Suarezia,2
Ceratocentron,2
Microthelys,2
Plectrelminthus,2
Platyrhiza,2
Devogelia,2
Degranvillea,2
Hammarbya,2
Taprobanea,2
Hancockia,2
Haraella,2
Dossinia,2
Thaia,2
Lepidogyne,2
Thecostele,2
Ambrella,2
Planetangis,2
Thelyschista,2
Pilophyllum,2
Thulinia,2
Phragmorchis,2
Thuniopsis,2
Braemia,2
Herpysma,2
Tomzanonia,2
Hintonella,2
Cybebus,2
Deceptor,2
Peristeranthus,2
Horichia,2
xGymnotraunsteinera,2
Papuaea,2
Aetheorhyncha,2
Leptoceras,2
xHerminorchis,2
Adrorhizon,2
Chamorchis,2
Hsenhsua,2
Trizeuxis,2
Mengzia,2
Megalorchis,2
Imerinaea,2
Lueckelia,2
Adamantinia,2
Leporella,2
Acrorchis,2
Burnettia,2
Vasqueziella,2
Caleana,2
Ophioglossella,2
Luerella,2
Waireia,2
Calypso,2
Notyliopsis,2
Nohawilliamsia,2
Cheiradenia,2
Cardiochilos,2
Loefgrenianthus,2
Chamelophyton,2
Neomoorea,2
Ypsilorchis,2
Zelenkoa,2
Neogardneria,2
xNeotinarhiza,2
Eriaxis,2
Cottonia,2
Santotomasia,2
Arethusa,2
Cotylolabium,2
Archivea,2
Santanderella,2
Crossoliparis,2
Eriodes,2
Aracamunia,2
Schuitemania,2
Schunkea,2
Artorima,2
Seidenfadenia,2
Sophrolaeliocattleya,1
Iwanagaara,1
Brassolaeliocattleya,1
Potinara,1
Rhyncholaeliocattleya,1
Laeliocattleya,1
Erasanthe,1
Alamania,1
Dilochopsis,1
Arundina,1
Intergeneric,1
Dilochiopsis,1
