genus,species,image_count,country_count,sources
Bulbophyllum,wallichii,29,1,GBIF
Aganisia,fimbriata,29,2,GBIF
Lepanthes,acutissima,29,0,GBIF
Angraecum,caulescens,29,0,GBIF
Pleurothallis,variabilis,29,0,GBIF
Disperis,paludosa Harv.,29,1,GBIF
Earina,autumnalis,29,0,GBIF
Spiranthes,flexuosa,29,1,GBIF
Liparis,sootenzanensis,29,0,GBIF
Epidendrum,ibaguense,29,0,GBIF
Miltonia,spectabilis,29,0,GBIF
Zeuxine,strateumatica L.,29,1,GBIF
Pleurothallis,tetragona,29,0,GBIF
Disa,bracteata Sw.,29,2,GBIF
Bulbophyllum,macraei,29,0,GBIF
Neottia,papilligera,29,0,GBIF
Stichorkis,truncicola,29,1,GBIF
Pterostylis,australis Hook.f.,29,0,GBIF
Masdevallia,dimorphotricha,29,0,GBIF
Coelogyne,rhabdobulbon,29,0,GBIF
Dactylorhiza,aristata Fisch.,29,0,GBIF
Ludisia,discolor Ker,29,0,GBIF
Dipodium,atropurpureum,29,0,GBIF
Dactylorhiza,fuchsii ssp.,29,0,GBIF
Trichoglottis,latisepala,29,0,GBIF
Epidendrum,mancum,29,0,GBIF
Epidendrum,wallisii,29,0,GBIF
Encyclia,aspera,29,0,GBIF
Prosthechea,hastata,29,0,GBIF
Encyclia,x,29,0,GBIF
Hemipilia,kiraishiensis Hayata,29,0,GBIF
Clowesia,thylaciochila,29,0,GBIF
Coryanthes,macrantha,29,0,GBIF
Bulbophyllum,putidum,29,0,"Chris Howard Collection,GBIF"
Dichaea,latifolia,29,0,GBIF
Gavilea,araucana Phil.,29,0,GBIF
Diodonopsis,erinacea,29,0,GBIF
Acianthera,pectinata,29,0,GBIF
Gastrodia,procera,29,0,GBIF
Habenaria,cephalotes Lindl.,29,0,GBIF
Acampe,pachyglossa,29,1,GBIF
Trichocentrum,yucatanense,29,1,GBIF
Drymoanthus,adversus,29,1,GBIF
Pterostylis,angusta A.,29,0,GBIF
Gomesa,concolor,29,0,GBIF
Epidendrum,parkinsonianum,29,0,GBIF
Trichocentrum,pulchrum,29,0,GBIF
Bulbophyllum,erectum,29,0,GBIF
Cystorchis,aphylla Ridl.,29,0,GBIF
Epidendrum,laucheanum,29,0,GBIF
Crepidium,khasianum,29,0,GBIF
Aerangis,thomsonii,29,0,GBIF
Cynorkis,cardiophylla Schltr.,29,0,GBIF
Microchilus,plantagineus L.,29,0,GBIF
Mediocalcar,bifolium,29,0,GBIF
Lepanthes,rhombipetala,29,0,GBIF
Prosthechea,cochleata,29,0,GBIF
Epidendrum,trianthum,29,0,GBIF
Epidendrum,coryophorum,29,0,GBIF
Bulbophyllum,conspectum,29,2,GBIF
Cattleya,amethystoglossa,29,0,GBIF
Lepanthes,elata,29,0,GBIF
Catasetum,uncatum,29,0,GBIF
Maxillaria,oreocharis,29,0,GBIF
Maxillaria,sigmoidea,29,0,GBIF
Dendrobium,samoense,29,0,GBIF
Epidendrum,galeottianum,29,3,"GBIF,iNaturalist"
Malaxis,pandurata,29,0,GBIF
Habenaria,heyneana Lindl.,29,0,GBIF
Baskervilla,paranaensis Kraenzl.,29,0,GBIF
Prosthechea,vespa,29,0,GBIF
Dendrobium,friedericksianum,29,0,GBIF
Catasetum,luridum,29,0,GBIF
Habenaria,perpulchra Kraenzl.,29,0,GBIF
Uncifera,acuminata,29,0,GBIF
Maxillaria,egertoniana,29,0,GBIF
Dendrobium,striolatum,29,0,GBIF
Dendrobium,chrysanthum,29,0,GBIF
Bulbophyllum,auriflorum,29,0,GBIF
Rhipidoglossum,densiflorum,29,0,GBIF
Porpax,jerdoniana,29,0,GBIF
Pterostylis,mitchellii Lindl.,29,0,GBIF
Govenia,sodiroi,29,0,GBIF
Platanthera,x keenanii,29,0,GBIF
Eulophia,zeyheriana,29,0,GBIF
Dendrobium,pugioniforme,29,0,GBIF
Gastrodia,pubilabiata,29,0,GBIF
Cleisostoma,racemiferum,29,0,GBIF
Pleurothallis,linguifera,29,0,GBIF
Epidendrum,spathatum,29,0,GBIF
Liparis,clareae,29,0,GBIF
Pteroglossa,roseoalba,29,0,GBIF
Pinalia,excavata,29,0,GBIF
Epidendrum,catillus,29,4,"GBIF,Tropicos - Missouri Botanical Garden"
Dendrobium,linearifolium,29,0,GBIF
Dendrobium,cumulatum,29,0,GBIF
Tolumnia,bahamensis,29,0,GBIF
Bulbophyllum,purpurascens,29,0,GBIF
Dendrobium,lanceolatum,29,0,GBIF
Chloraea,magellanica Hook.f.,28,0,GBIF
Corybas,purpureus J.,28,0,GBIF
Cyrtorchis,hamata,28,0,GBIF
Platanthera,stenophylla,28,0,GBIF
Epidendrum,mesomicron,28,0,GBIF
Epigeneium,tricallosum,28,0,GBIF
Pleurothallis,divaricans,28,0,GBIF
Brassia,ocanensis,28,0,GBIF
Pterostylis,x toveyana,28,0,GBIF
Ponthieva,racemosa Walt.,28,0,GBIF
Angraecum,didieri,28,0,GBIF
Solenangis,scandens,28,0,GBIF
Sophronitella,violacea,28,0,"GBIF,Roberta Fox Collection"
Coelogyne,cruciformis,28,0,GBIF
Pabstiella,tripterantha,28,0,GBIF
Ania,viridifusca,28,0,GBIF
Rhipidoglossum,eggelingii,28,0,GBIF
Disa,tenuifolia Sw.,28,0,GBIF
Dactylorhiza,maculata ssp.,28,0,GBIF
Pleurothallis,ensata,28,0,GBIF
Octomeria,tridentata,28,4,GBIF
Cyclopogon,luteoalbus,28,0,GBIF
Ceratostylis,retisquama,28,0,GBIF
Bulbophyllum,baladeanum,28,0,GBIF
Funkiella,minutiflora,28,0,GBIF
Genoplesium,cuspidatum D.,28,0,GBIF
Cyclopogon,comosus,28,0,GBIF
Zygopetalum,triste,28,0,GBIF
Ophrys,lesbis,28,0,GBIF
Cypripedium,guttatum Sw.,28,3,"GBIF,iDigBio"
Habenaria,stenorhynchos Schltr.,28,0,GBIF
Coelogyne,cuspilabia,28,0,GBIF
Pleurothallis,homalantha,28,0,GBIF
Epidendrum,baumannianum,28,0,GBIF
Phalaenopsis,mariae,28,0,GBIF
Dendrobium,polysema,28,0,GBIF
Telipogon,antisuyuensis,28,0,GBIF
Angraecum,moandense,28,0,GBIF
Platanthera,hyperborea L.,28,0,GBIF
Polystachya,perrieri,28,1,GBIF
Blepharoglossum,fulgens,28,2,GBIF
Epidendrum,floridense,28,0,GBIF
Pterostylis,microglossa,28,0,GBIF
Bulbophyllum,taiwanense,28,0,GBIF
Bulbophyllum,congestum,28,0,GBIF
Rhynchostele,ehrenbergii,28,0,GBIF
Aspasia,epidendroides,28,0,GBIF
Bulbophyllum,japonicum,28,0,GBIF
Bulbophyllum,ivorense,28,0,GBIF
Hemipilia,basifoliata Finet,28,0,GBIF
Habenaria,isoantha Schltr.,28,0,GBIF
Stenotyla,lendyana,28,0,GBIF
Masdevallia,maculata,28,0,GBIF
Cephalanthera,kurdica,28,0,GBIF
Schizochilus,gerrardii Rchb.f.,28,0,GBIF
Preptanthe,cardioglossa,28,0,GBIF
Aa,weddelliana,28,0,GBIF
Sphyrarhynchus,schliebenii,28,0,GBIF
Pleurothallis,canidentis,28,0,GBIF
Gastrochilus,bellinus,28,0,GBIF
Cynorkis,rosellata Thouars,28,0,GBIF
Trachoma,papuanum,28,0,GBIF
Malaxis,crispifolia,28,0,GBIF
Jumellea,maxillarioides,28,0,GBIF
Bulbophyllum,hyalosemoides,28,0,GBIF
Epidendrum,cerinum,28,0,GBIF
Serapias,vomeracea Burm.f.,28,0,GBIF
Oncidium,ornithorhynchum,28,1,"GBIF,Tropicos - Missouri Botanical Garden"
Cyrtochilum,volubile,28,0,GBIF
Epidendrum,cochlidium,28,0,GBIF
Telipogon,suarezii,28,0,GBIF
Styloglossum,balansae,28,0,GBIF
Cynorkis,paradoxa Frapp.,28,0,GBIF
Epidendrum,geniculatum,28,1,GBIF
Ida,locusta,28,0,GBIF
Disa,cornuta L.,28,1,GBIF
Styloglossum,speciosum,28,0,GBIF
Maxillaria,imbricata,28,0,GBIF
Sobralia,ecuadorana,28,0,GBIF
Aerangis,luteoalba,28,0,GBIF
Holothrix,arachnoidea A.,28,0,GBIF
Maxillaria,valerioi,28,0,GBIF
Encyclia,mapuerae,28,0,GBIF
Promenaea,stapelioides,28,0,GBIF
Cryptochilus,strictus,28,0,GBIF
Ophrys,x pseudospeculum,28,0,GBIF
Gongora,rufescens,28,0,GBIF
Trichoceros,muralis,28,0,GBIF
Phymatidium,hysteranthum,28,0,GBIF
Pleione,yunnanensis,28,1,GBIF
Huntleya,meleagris,28,0,GBIF
Trichocentrum,capistratum,28,0,GBIF
Crepidium,ramosii,28,0,GBIF
Maxillaria,leucaimata,28,0,GBIF
Aeranthes,caudata,28,0,GBIF
Stelis,ornata,28,0,GBIF
Dendrobium,rosenbergii,28,3,GBIF
Polystachya,campyloglossa,28,0,GBIF
Sirhookera,lanceolata,28,0,GBIF
Polystachya,humbertii,28,0,GBIF
Macodes,lowii E.,28,0,GBIF
Maxillaria,hedwigiae,28,0,GBIF
Epidendrum,cardiochilum,28,0,GBIF
Oncidium,odoratum,28,0,GBIF
Pterostylis,paludosa D.,28,0,GBIF
Dendrobium,jenkinsii,28,0,"Chris Howard Collection,GBIF"
Coelogyne,stricta,28,0,GBIF
Epidendrum,melinanthum,28,0,GBIF
Coelogyne,verrucosa,28,0,GBIF
Habenaria,corydophora Rchb.f.,28,0,GBIF
Polystachya,bifida,28,0,GBIF
Masdevallia,calura,28,0,GBIF
Dipodium,pardalinum,27,0,GBIF
Stelis,weddelliana,27,0,GBIF
Genoplesium,ectopum D.,27,0,GBIF
Epidendrum,adnatum,27,0,GBIF
Habenaria,splendentior Summerh.,27,0,GBIF
Habenaria,petraea Renz,27,0,GBIF
Scaphyglottis,grandiflora,27,0,GBIF
Habenaria,plectromaniaca,27,0,GBIF
Bulbophyllum,nigritianum,27,0,GBIF
Dichaea,trulla,27,4,GBIF
Bulbophyllum,occultum,27,0,GBIF
Domingoa,haematochila,27,0,GBIF
Epidendrum,calanthum,27,0,GBIF
Dendrobium,kingianum,27,3,"ALA - Atlas of Living Australia,Chris Howard Collection,GBIF"
Stelis,porschiana,27,0,GBIF
Stelis,parvula,27,0,GBIF
Cheirostylis,nuda Thouars,27,0,GBIF
Dichaea,calyculata,27,0,GBIF
Angraecopsis,gracillima,27,0,GBIF
Diaphananthe,vesicata,27,0,GBIF
Pabstiella,armeniaca,27,0,GBIF
Caladenia,pallida Lindl.,27,0,GBIF
Erythrodes,blumei Lindl.,27,0,GBIF
Epidendrum,intermixtum,27,2,GBIF
Pleurothallis,ripleyi,27,0,GBIF
Epidendrum,angustilobum,27,0,GBIF
Lepanthes,guttula-sanguinis,27,0,GBIF
Gomphichis,plantaginifolia C.,27,0,GBIF
Microtis,oligantha L.,27,0,GBIF
Dendrobium,anceps,27,0,GBIF
Dendrobium,quinquelobum,27,0,GBIF
Coelogyne,complanata,27,0,GBIF
Paphiopedilum,parishii Rchb.f.,27,2,GBIF
Cypripedium,franchetii Rolfe,27,1,GBIF
Habenaria,goetzeana Kraenzl.,27,0,GBIF
Caladenia,x ericksoniae,27,0,GBIF
Maxillaria,minus,27,0,GBIF
Tipularia,josephi,27,0,GBIF
Habenaria,glaucifolia Bureau,27,0,GBIF
Caladenia,xanthochila D.,27,0,GBIF
Otostylis,brachystalix,27,0,GBIF
Pleurothallis,siphoglossa,27,0,GBIF
Maxillaria,desvauxiana,27,0,GBIF
Angraecum,cultriforme,27,0,GBIF
Cryptostylis,acutata J.,27,0,GBIF
Pleurothallis,titan,27,0,GBIF
Habenaria,brachyphyton Schltr.,27,0,GBIF
Cyrtopodium,vernum,27,0,GBIF
Habenaria,floribunda Lindl.,27,0,GBIF
Ipsea,speciosa,27,0,GBIF
Brassavola,flagellaris,27,0,GBIF
Brassavola,nodosa,27,0,GBIF
Paphiopedilum,lowii Lindl.,27,2,GBIF
Grammatophyllum,kinabaluense,27,0,GBIF
Tridactyle,tridactylites,27,5,GBIF
Paphiopedilum,barbigerum,27,0,GBIF
Pleurothallis,lilijae,27,0,GBIF
Epidendrum,stangeanum,27,0,GBIF
Cryptopus,elatus,27,0,GBIF
Habenaria,lavrensis Hoehne,27,0,GBIF
Epidendrum,excisum,27,3,"GBIF,Tropicos - Missouri Botanical Garden"
Roeperocharis,wentzeliana Kraenzl.,27,0,GBIF
Prasophyllum,colensoi Hook.f.,27,0,GBIF
Prasophyllum,rostratum Lindl.,27,0,GBIF
Epidendrum,citrosmum,27,0,GBIF
Dendrobium,strongylanthum,27,0,GBIF
Acianthera,hystrix,27,0,GBIF
Epidendrum,eustirum,27,0,GBIF
Telipogon,wallisii,27,0,GBIF
Cyrtosia,javanica Blume,27,2,GBIF
Liparis,cathcartii,27,0,GBIF
Himantoglossum,robertianum Loisel.,27,0,GBIF
Aa,paleacea,27,3,GBIF
Coelogyne,pandurata,27,0,GBIF
Maxillaria,sanguinea,27,0,GBIF
Microcoelia,koehleri,27,0,GBIF
Stelis,aurea,27,0,GBIF
Paphiopedilum,rothschildianum Rchb.f.,27,0,GBIF
Masdevallia,macropus,27,0,GBIF
Telipogon,collantesii,27,0,GBIF
Neobathiea,gracilis,27,0,GBIF
Encyclia,trachycarpa,27,0,GBIF
Mediocalcar,decoratum,27,0,GBIF
Herminium,monorchis L.,27,0,GBIF
Liparis,rectangularis,27,0,GBIF
Epidendrum,tumuc-humaciense,27,0,GBIF
Taeniophyllum,latipetalum,27,0,GBIF
Pleurothallis,pulvinaris,27,0,GBIF
Hemipilia,pinguicula Rchb.f.,27,0,GBIF
Bulbophyllum,gamblei,27,0,GBIF
Psychopsis,krameriana,27,0,GBIF
Dendrobium,macropus,27,0,GBIF
Bulbophyllum,henrici,27,1,"GBIF,Tropicos - Missouri Botanical Garden"
Pleurothallis,colossus,27,0,GBIF
Gomesa,flexuosa,27,0,GBIF
Dendrobium,macranthum,27,0,GBIF
Epidendrum,dermatanthum,27,0,GBIF
Stelis,eublepharis,27,0,GBIF
Lepanthopsis,floripecten,27,0,GBIF
Zeuxine,africana Rchb.f.,27,0,GBIF
Bulbophyllum,leandrianum,27,0,GBIF
Bulbophyllum,retusiusculum,27,1,GBIF
Epidendrum,cooperianum,27,0,GBIF
Ophrys,x fernandii,27,0,GBIF
Schiedeella,nagelii,27,0,GBIF
Coelogyne,uncata,27,0,GBIF
Anathallis,polygonoides,27,0,GBIF
Dipodium,pictum,27,0,GBIF
Prosthechea,glumacea,26,0,GBIF
Habenaria,cruciata J.,26,1,GBIF
Platycoryne,paludosa Lindl.,26,0,GBIF
Rhipidoglossum,confusum,26,0,GBIF
Goodyera,bifida Blume,26,0,GBIF
Pleurothallis,palliolata,26,0,GBIF
Habenaria,luzmariana,26,0,GBIF
Porpax,reticulata,26,1,GBIF
Angraecum,teretifolium,26,0,GBIF
Pterostylis,praetermissa,26,0,GBIF
Gastrodia,cunninghamii,26,0,GBIF
Anacamptis,x subpapilionacea,26,0,GBIF
Habenaria,diffusa,26,0,GBIF
Encyclia,tampensis,26,0,GBIF
Eulophia,rhodesiaca,26,0,GBIF
Cyrtorchis,monteiroae,26,0,GBIF
Aphyllorchis,pallida,26,0,GBIF
Oncidium,noezlianum,26,0,GBIF
Epidendrum,antioquiense,26,0,GBIF
Cymbidium,iridioides,26,0,GBIF
Caladenia,angustata Lindl.,26,0,GBIF
Cattleya,harpophylla,26,0,GBIF
Acianthera,malachantha,26,0,GBIF
Gomesa,forbesii,26,1,GBIF
Dendrobium,salaccense,26,0,GBIF
Angraecum,stolzii,26,0,GBIF
Acianthera,chrysantha,26,0,GBIF
Hetaeria,mannii Rchb.f.,26,0,GBIF
Dendrobium,nardoides,26,1,GBIF
Apostasia,nuda R.,26,1,GBIF
Bulbophyllum,cumingii,26,1,GBIF
Arpophyllum,alpinum,26,0,GBIF
Polystachya,mystacioides,26,0,GBIF
Jumellea,arachnantha,26,0,GBIF
Eulophia,analamerensis,26,0,GBIF
Angraecum,urschianum,26,0,GBIF
Spathoglottis,pubescens,26,0,GBIF
Thrixspermum,amplexicaule,26,1,GBIF
Leptotes,bicolor,26,0,"GBIF,Roberta Fox Collection"
Aeranthes,strangulata,26,0,GBIF
Cynorkis,pleistadenia Rchb.f.,26,0,GBIF
Bulbophyllum,kwangtungense,26,0,GBIF
Masdevallia,ventricularia,26,0,GBIF
Pleurothallis,silverstonei,26,0,GBIF
Anoectochilus,imitans Schltr.,26,1,GBIF
Disa,buchenaviana Kraenzl.,26,2,"GBIF,iDigBio"
Liparis,kamborangensis,26,0,GBIF
Maxillaria,virguncula,26,0,GBIF
Disa,caulescens Lindl.,26,1,GBIF
Bulbophyllum,argyropus,26,0,GBIF
Oncidium,geertianum,26,0,GBIF
Benthamia,rostrata Schltr.,26,0,GBIF
Liparis,petiolata,26,0,GBIF
Epidendrum,carpophorum,26,0,GBIF
Bulbophyllum,ochroleucum,26,0,GBIF
Coelogyne,recurva,26,0,GBIF
Cephalanthera,damasonium,26,0,GBIF
Angraecum,humblotianum,26,1,GBIF
Caladenia,zephyra D.,26,0,GBIF
Microtis,unifolia G.,26,0,GBIF
Encyclia,plicata,26,0,GBIF
Pachyplectron,aphyllum T.,26,0,GBIF
Eulophia,rutenbergiana,26,0,GBIF
Genoplesium,citriodorum,26,0,GBIF
Maxillaria,mapiriensis,26,0,GBIF
Aa,mathewsii,26,1,GBIF
Orthoceras,novae-zeelandiae A.,26,0,GBIF
Gastrochilus,raraensis,26,0,GBIF
Pterostylis,divaricata,26,0,GBIF
Phragmipedium,warszewiczianum Rchb.f.,26,1,GBIF
Prasophyllum,petilum,26,0,GBIF
Oncidium,panchrysum,26,0,GBIF
Acianthera,exarticulata,26,0,GBIF
Dendrobium,adae,26,1,GBIF
Habenaria,elongata R.,26,2,GBIF
Cynorkis,elata Rolfe,26,0,GBIF
Cynorkis,graminea Thouars,26,0,GBIF
Miltonia,moreliana,26,0,GBIF
Galeoglossum,tubulosum Lindl.,26,0,GBIF
Ophrys,x lithinensis,26,0,GBIF
Anoectochilus,tridentatus Seidenf.,26,0,GBIF
Dendrobium,stuposum,26,0,GBIF
Trichoglottis,ventricularis,26,0,GBIF
Luisia,hancockii,26,0,GBIF
Epidendrum,campaccii,26,0,GBIF
Dendrobium,ochreatum,26,0,"Chris Howard Collection,GBIF"
Habenaria,uncicalcar Summerh.,26,0,GBIF
Glomera,confusa,26,0,GBIF
Zootrophion,dayanum,26,0,GBIF
Dichaea,intermedia,26,0,GBIF
Cymbidium,insigne,26,0,GBIF
Phreatia,plantaginifolia,26,1,GBIF
Altensteinia,virescens Lindl.,26,1,GBIF
Stelis,maxima,26,0,GBIF
Oncidium,picturatissimum,26,1,"GBIF,iNaturalist"
Pterichis,triloba Lindl.,26,2,GBIF
Acianthera,wageneriana,26,0,GBIF
Herminium,bulleyi Rolfe,26,0,GBIF
Phreatia,caulescens,26,0,GBIF
Funkiella,parasitica,26,0,GBIF
Seidenfadeniella,chrysantha,26,0,GBIF
Oncidium,hagsaterianum,26,0,GBIF
Coelogyne,alba,26,0,GBIF
Diuris,septentrionalis,26,0,GBIF
Masdevallia,yungasensis,26,0,GBIF
Epidendrum,bifarium,26,0,GBIF
Pleurothallis,punctulata,26,0,GBIF
Platanthera,angustata Blume,26,0,GBIF
Epidendrum,mutelianum,26,0,GBIF
Coelogyne,rubra,26,0,GBIF
Cypripedium,cordigerum D.,25,3,GBIF
Angraecum,birrimense,25,0,GBIF
Calopogon,pallidus,25,0,GBIF
Anoectochilus,albolineatus C.,25,0,GBIF
Nephelaphyllum,tenuiflorum,25,0,GBIF
Caladenia,varians,25,0,GBIF
Elleanthus,aureus,25,0,GBIF
Dactylorhiza,x formosa,25,0,GBIF
Maxillaria,angustissima,25,0,GBIF
Diuris,conspicillata D.,25,1,GBIF
Dactylorhiza,praetermissa,25,0,GBIF
Diuris,cruenta D.,25,0,GBIF
Gomesa,pectoralis,25,0,GBIF
Maxillaria,biolleyi,25,0,GBIF
Caladenia,hildae,25,1,GBIF
Acianthera,boliviana,25,1,GBIF
Dendrobium,habbemense,25,0,GBIF
Angraecum,melanostictum,25,0,GBIF
Pleurothallis,phyllocardioides,25,0,GBIF
Diuris,lanceolata Lindl.,25,0,GBIF
Dendrobium,rumphiae,25,0,GBIF
Angraecum,dendrobiopsis,25,0,GBIF
Oncidium,maculatum,25,0,GBIF
Bulbophyllum,clandestinum,25,0,GBIF
Eriochilus,pulchellus Hopper,25,0,GBIF
Ophrys,melitensis Salk.,25,0,GBIF
Megastylis,latilabris Schltr.,25,0,GBIF
Phalaenopsis,schilleriana,25,0,GBIF
Platycoryne,mediocris Summerh.,25,0,GBIF
Vanda,curvifolia,25,0,GBIF
Aplectrum,hyemale,25,0,GBIF
Microcoelia,konduensis,25,0,GBIF
Bulbophyllum,cylindrobulbum,25,0,GBIF
Polystachya,concreta,25,0,GBIF
Bulbophyllum,maximum,25,0,GBIF
Galeoglossum,thysanochilum,25,0,GBIF
Dendrobium,angustipetalum,25,0,GBIF
Bulbophyllum,leptostachyum,25,0,GBIF
Epidendrum,polystachyum,25,0,GBIF
Epidendrum,gonzalez-tamayoi,25,0,GBIF
Tainia,elliptica,25,0,GBIF
Epidendrum,macrum,25,0,GBIF
Epidendrum,megagastrium,25,0,GBIF
Chloraea,membranacea Lindl.,25,2,GBIF
Bulbophyllum,secundum,25,1,GBIF
Maxillaria,neglecta,25,4,GBIF
Bulbophyllum,pervillei,25,0,GBIF
Ancistrorhynchus,cephalotes,25,0,GBIF
Platystele,ovalifolia,25,0,GBIF
Cattleya,pabstii,25,0,GBIF
Rhipidoglossum,pulchellum,25,0,GBIF
Liparis,arnoglossophylla,25,0,GBIF
Caladenia,drakeoides Hopper,25,0,GBIF
Masdevallia,tovarensis,25,0,GBIF
Renanthera,coccinea,25,0,GBIF
Dactylorhiza,x salictina,25,0,GBIF
Polystachya,calluniflora,25,0,GBIF
Stelis,discolor,25,0,GBIF
Pterostylis,russellii Hunt,25,0,GBIF
Oncidium,oliganthum,25,0,GBIF
Styloglossum,caulescens,25,0,GBIF
Diaphananthe,lorifolia,25,0,GBIF
Elleanthus,virgatus,25,0,GBIF
Dendrophylax,porrectus,25,0,GBIF
Bulbophyllum,obtusipetalum,25,1,GBIF
Platanthera,leucophaea Nutt.,25,0,GBIF
Bulbophyllum,incurvum,25,0,GBIF
Pterostylis,arfakensis,25,0,GBIF
Microcoelia,aphylla,25,0,GBIF
Stelis,mandonii,25,0,GBIF
Satyrium,rhynchanthoides Schltr.,25,0,GBIF
Habenaria,keayi Summerh.,25,0,GBIF
Spathoglottis,plicata,25,0,GBIF
Anathallis,lewisiae,25,0,GBIF
Dendrobium,gramineum,25,0,GBIF
Epidendrum,cirrhochilum,25,0,GBIF
Maxillaria,parvilabia,25,0,GBIF
Bogoria,moorei,25,0,GBIF
Coelogyne,uniflora,25,0,GBIF
Brassavola,subulifolia,25,0,GBIF
Trichopilia,marginata,25,0,GBIF
Bulbophyllum,vaginatum,25,0,GBIF
Calanthe,argenteostriata,25,0,GBIF
Liparis,deflexa,25,0,GBIF
Plocoglottis,borneensis,25,0,GBIF
Pleurothallis,macrophylla,25,0,GBIF
Coelogyne,ingloria,25,0,GBIF
Disperis,thomensis Summerh.,25,2,GBIF
Coelogyne,irigensis,25,0,GBIF
Hylophila,lanceolata Blume,24,0,GBIF
Gongora,maculata,24,0,GBIF
Cuitlauzina,egertonii,24,0,GBIF
Gennaria,griffithii,24,0,GBIF
Xylobium,varicosum,24,0,GBIF
Baskervilla,colombiana Garay,24,0,GBIF
Lankesteriana,cuspidata,24,0,GBIF
Liparis,latialata,24,0,GBIF
Chiloschista,parishii,24,0,GBIF
Bulbophyllum,lupulinum,24,0,"Chris Howard Collection,GBIF"
Platystele,misera,24,0,GBIF
Stanhopea,tricornis,24,0,GBIF
Burnettia,cuneata Lindl.,24,0,GBIF
Cattleya,tenebrosa,24,0,"Chris Howard Collection,GBIF"
Bulbophyllum,uniflorum,24,0,GBIF
Pterostylis,splendens D.,24,1,GBIF
Bulbophyllum,pectinatum,24,0,GBIF
Dendrobium,uniflorum,24,3,GBIF
Eulophia,siamensis,24,0,GBIF
Habenaria,rumphii Brongn.,24,0,GBIF
Diodonopsis,pygmaea,24,0,GBIF
Eulophia,barteri,24,0,GBIF
Coelogyne,latens,24,0,GBIF
Chaubardia,klugii,24,0,GBIF
Maxillaria,maleolens,24,0,GBIF
Elleanthus,cephalotus,24,0,GBIF
Rhipidoglossum,schimperianum,24,0,GBIF
Coelogyne,chloroptera,24,0,GBIF
Rhipidoglossum,stolzii,24,0,GBIF
Zeuxine,stammleri Schltr.,24,0,GBIF
Epidendrum,palmense,24,0,GBIF
Oxystophyllum,carnosum,24,1,GBIF
Aerangis,kirkii,24,0,GBIF
Catasetum,incurvum,24,0,GBIF
Lepanthes,tipulifera,24,0,GBIF
Acianthera,albopurpurea,24,1,GBIF
Bulbophyllum,omerandrum,24,0,GBIF
Neottia,alternifolia,24,0,GBIF
Dryadella,simula,24,0,GBIF
Bulbophyllum,oliganthum,24,0,GBIF
Dipodium,scandens,24,0,GBIF
Collabium,chinense,24,3,GBIF
Coelogyne,tricallosa,24,0,GBIF
Bulbophyllum,auricomum,24,5,GBIF
Dendrobium,acuminatissimum,24,0,GBIF
Hemipilia,cordifolia Lindl.,24,0,GBIF
Pleurothallis,imperialis,24,0,GBIF
Anacamptis,x feinbruniae,24,0,GBIF
Maxillaria,pulla,24,0,GBIF
Dendrobium,connatum,24,0,GBIF
Disa,scutellifera A.,24,0,GBIF
Masdevallia,chasei,24,0,GBIF
Scaphyglottis,bilineata,24,0,GBIF
Ceratostylis,subulata,24,0,GBIF
Lycaste,cochleata,24,0,GBIF
Pachyplectron,arifolium Schltr.,24,0,GBIF
Jumellea,confusa,24,0,GBIF
Gomesa,widgrenii,24,0,GBIF
Odontochilus,gracilis Blume,24,0,GBIF
Habenaria,jaguariahyvae Kraenzl.,24,0,GBIF
Dendrobium,spectabile,24,0,GBIF
Stelis,leinigii,24,0,GBIF
Cyrtopodium,paniculatum,24,0,GBIF
Vrydagzynea,paludosa J.,24,0,GBIF
Polystachya,dolichophylla,24,0,GBIF
Stelis,rufobrunnea,24,0,GBIF
Agrostophyllum,earinoides,24,0,GBIF
Scaphyglottis,hondurensis,24,0,GBIF
Lepanthopsis,constanzensis,24,0,GBIF
Polystachya,orophila,24,0,GBIF
Pelatantheria,insectifera,24,0,GBIF
Satyrium,neglectum ssp.,24,0,GBIF
Satyrium,robustum Schltr.,24,0,GBIF
Prasophyllum,canaliculatum Jones,24,0,GBIF
Dendrobium,prenticei,24,0,GBIF
Glomera,palustris,24,0,GBIF
Acampe,praemorsa,24,0,GBIF
Prasophyllum,candidum,24,0,GBIF
Robiquetia,brevifolia,24,0,GBIF
Pseudogoodyera,pseudogoodyeroides,24,0,GBIF
Cymbidium,mastersii,24,0,"Chris Howard Collection,GBIF"
Acianthera,hondurensis,24,0,GBIF
Encyclia,isochila,24,0,GBIF
Bulbophyllum,dayanum,24,1,GBIF
Oberonia,costeriana,24,0,GBIF
Sobralia,bimaculata,24,0,GBIF
Angraecum,cucullatum,24,2,GBIF
Bulbophyllum,comatum,24,3,GBIF
Caladenia,dorrienii Domin,24,1,GBIF
Bulbophyllum,delitescens,24,0,GBIF
Habenaria,glaucophylla Barb.,24,0,GBIF
Encyclia,spatella,24,0,GBIF
Pleurothallis,microcardia,24,0,GBIF
Diuris,luteola D.,24,0,GBIF
Lepanthes,rotundata,24,0,GBIF
Adrorhizon,purpurascens,24,0,GBIF
Nervilia,punctata,24,0,GBIF
Polystachya,dewanckeliana,24,0,GBIF
Elleanthus,cordidactylus,24,0,GBIF
Epidendrum,nitens,24,0,GBIF
Cattleya,lawrenceana,24,0,GBIF
