genus,species,image_count,country_count,sources
Bulbophyllum,cupreum,41,6,"Chris Howard Collection,GBIF"
Cleistes,rosea Lindl.,40,6,"GBIF,Tropicos - Missouri Botanical Garden"
Cattleya,labiata,40,3,"GBIF,Roberta Fox Collection,Tropicos - Missouri Botanical Garden"
Caladenia,x,39,1,GBIF
Disperis,bolusiana ssp.,39,1,GBIF
Dendrobium,denudans,39,5,GBIF
Epidendrum,porquerense,39,2,"GBIF,Tropicos - Missouri Botanical Garden"
Dendrobium,lobatum,39,4,GBIF
Maxillaria,haemathodes,38,2,"GBIF,Tropicos - Missouri Botanical Garden"
Dactylorhiza,osmanica Klinge,38,4,"GBIF,iNaturalist"
Dendrobium,linguella,38,5,"Chris Howard Collection,GBIF"
Disa,fragrans ssp.,38,2,GBIF
Nigritella,rhellicani ssp.,38,3,GBIF
Epidendrum,cleistocoleum,38,1,GBIF
Dendrobium,villosulum,38,3,GBIF
Angraecum,sesquipedale,37,1,GBIF
Isotria,verticillata Muhl.,37,1,"GBIF,Tropicos - Missouri Botanical Garden"
Apostasia,wallichii R.,37,3,GBIF
Pseudovanilla,foliata F.,37,3,GBIF
Epidendrum,diffusum,36,1,"GBIF,Tropicos - Missouri Botanical Garden"
Epidendrum,x,36,5,GBIF
Disa,harveyana ssp.,36,1,GBIF
Dendrobium,antennatum,36,1,"Chris Howard Collection,GBIF"
Epidendrum,oxycalyx,36,2,"GBIF,Tropicos - Missouri Botanical Garden"
Dendrobium,draconis,36,0,"Chris Howard Collection,GBIF"
Nigritella,rubra ssp.,36,0,GBIF
Maxillaria,horichii,36,2,GBIF
Oncidium,ghiesbreghtianum,35,2,GBIF
Dendrobium,polytrichum,35,1,GBIF
Ophrys,sicula Tineo,35,13,"GBIF,iNaturalist"
Satyrium,hallackii ssp.,35,1,GBIF
Dendrobium,leonis,35,0,"Chris Howard Collection,GBIF"
Catasetum,x,35,0,GBIF
Phragmipedium,schlimii Rchb.f.,35,2,GBIF
Maxillaria,luteoalba,35,6,"GBIF,Tropicos - Missouri Botanical Garden"
Dendrobium,jonesii,34,0,"Chris Howard Collection,GBIF"
Cycnoches,haagii,34,0,"Chris Howard Collection,GBIF"
Stichorkis,bootanensis,34,1,GBIF
Vanda,perplexa,34,2,GBIF
Phragmipedium,caudatum Lindl.,34,1,GBIF
Bulbophyllum,scariosum,34,7,GBIF
Pterostylis,porrecta D.,33,1,GBIF
Brownleea,galpinii ssp.,33,1,GBIF
Caladenia,lyallii Hook.f.,33,1,GBIF
Epidendrum,pseudoschumannianum,33,1,"GBIF,Tropicos - Missouri Botanical Garden"
Cypripedium,acaule Aiton,33,3,"GBIF,iDigBio"
