genus,species,image_url,source,country,locality,latitude,longitude,observer,license,created_at
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/557689316/original.jpg,iNaturalist,"Park County, CO, USA","Park County, CO, USA",39.4826526,-105.6951201,geoskimom,cc-by-nc,2025-11-26 03:39:49.148702
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/558227286/original.jpg,iNaturalist,"Parshall, CO, US","Parshall, CO, US",40.0292555,-106.0530305,busiak13,cc-by-nc,2025-11-26 03:39:49.084111
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/559125469/original.jpg,iNaturalist,"Hellgate Canyon Trail, Missoula, MT, US","Hellgate Canyon Trail, Missoula, MT, US",46.8510633,-113.9569083,sarahedix,cc-by-nc,2025-11-26 03:39:49.019557
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/559051962/original.jpg,iNaturalist,"Park County, CO, USA","Park County, CO, USA",39.5136645,-105.6775877,geoskimom,cc-by-nc,2025-11-26 03:39:48.953119
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/559224816/original.jpg,iNaturalist,"Banff National Park, Improvement District No. 9 Banff, AB, CA","Banff National Park, Improvement District No. 9 Banff, AB, CA",51.2791930,-115.7159465,laurenr31,cc-by-nc,2025-11-26 03:39:48.887063
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/559224801/original.jpg,iNaturalist,"Banff National Park, Improvement District No. 9 Banff, AB, CA","Banff National Park, Improvement District No. 9 Banff, AB, CA",51.2791930,-115.7159465,laurenr31,cc-by-nc,2025-11-26 03:39:48.820757
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/560560575/original.jpg,iNaturalist,"Eagle County, US-CO, US","Eagle County, US-CO, US",39.6252245,-106.2162028,elimitchell,cc-by-nc,2025-11-26 03:39:48.751017
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/560560559/original.jpg,iNaturalist,"Eagle County, US-CO, US","Eagle County, US-CO, US",39.6252245,-106.2162028,elimitchell,cc-by-nc,2025-11-26 03:39:48.664899
Calypso,bulbosa,https://static.inaturalist.org/photos/561985728/original.jpg,iNaturalist,,,,,samkurkowski,,2025-11-26 03:39:48.598016
Calypso,bulbosa,https://static.inaturalist.org/photos/561985725/original.jpg,iNaturalist,,,,,samkurkowski,,2025-11-26 03:39:48.532566
Calypso,bulbosa,https://static.inaturalist.org/photos/561985727/original.jpg,iNaturalist,,,,,samkurkowski,,2025-11-26 03:39:48.456428
Calypso,bulbosa,https://static.inaturalist.org/photos/561985763/original.jpg,iNaturalist,,,,,samkurkowski,,2025-11-26 03:39:48.391316
Calypso,bulbosa,https://static.inaturalist.org/photos/561985760/original.jpg,iNaturalist,,,,,samkurkowski,,2025-11-26 03:39:48.324595
Calypso,bulbosa,https://static.inaturalist.org/photos/561985762/original.jpg,iNaturalist,,,,,samkurkowski,,2025-11-26 03:39:48.245690
Calypso,bulbosa,https://static.inaturalist.org/photos/561985805/original.jpg,iNaturalist,,,,,samkurkowski,,2025-11-26 03:39:48.176914
Calypso,bulbosa,https://static.inaturalist.org/photos/561985802/original.jpg,iNaturalist,,,,,samkurkowski,,2025-11-26 03:39:48.113734
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562121654/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4654111,-123.7279750,rose02mary,cc-by-nc,2025-11-26 03:39:47.982677
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562122573/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4676333,-123.7234722,rose02mary,cc-by-nc,2025-11-26 03:39:47.910800
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562128758/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4222861,-123.5253917,rose02mary,cc-by-nc,2025-11-26 03:39:47.842808
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562148853/original.jpg,iNaturalist,"Nanaimo, BC, CA","Nanaimo, BC, CA",49.1516820,-123.8004145,jewelwalker,cc-by-nc,2025-11-26 03:39:47.774037
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562283049/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4324278,-123.5584111,rose02mary,cc-by-nc,2025-11-26 03:39:47.699985
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562282980/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4324278,-123.5584111,rose02mary,cc-by-nc,2025-11-26 03:39:47.558685
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562285186/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4376194,-123.5565556,rose02mary,cc-by-nc,2025-11-26 03:39:47.445081
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562293877/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4317694,-123.6305000,rose02mary,cc-by-nc,2025-11-26 03:39:47.376449
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562293992/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4317500,-123.6305472,rose02mary,cc-by-nc,2025-11-26 03:39:47.304367
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562295049/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4264194,-123.6327667,rose02mary,cc-by-nc,2025-11-26 03:39:47.234008
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562396396/original.jpg,iNaturalist,"Kananaskis, AB T0L, Canada","Kananaskis, AB T0L, Canada",51.0467484,-114.8684926,norbertkondla,cc-by-nc,2025-11-26 03:39:47.151110
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562397042/original.jpg,iNaturalist,"Kananaskis, AB T0L, Canada","Kananaskis, AB T0L, Canada",51.0469861,-114.8683851,norbertkondla,cc-by-nc,2025-11-26 03:39:47.087158
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562397458/original.jpg,iNaturalist,"Kananaskis, AB T0L, Canada","Kananaskis, AB T0L, Canada",51.0470105,-114.8682604,norbertkondla,cc-by-nc,2025-11-26 03:39:47.023734
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562397896/original.jpg,iNaturalist,"Kananaskis, AB T0L, Canada","Kananaskis, AB T0L, Canada",51.0469206,-114.8682625,norbertkondla,cc-by-nc,2025-11-26 03:39:46.959667
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562398341/original.jpg,iNaturalist,"Kananaskis, AB T0L, Canada","Kananaskis, AB T0L, Canada",51.0469002,-114.8683386,norbertkondla,cc-by-nc,2025-11-26 03:39:46.892735
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562399002/original.jpg,iNaturalist,"Kananaskis, AB T0L, Canada","Kananaskis, AB T0L, Canada",51.0467030,-114.8685743,norbertkondla,cc-by-nc,2025-11-26 03:39:46.826572
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562400128/original.jpg,iNaturalist,"Kananaskis, AB T0L, Canada","Kananaskis, AB T0L, Canada",51.0467195,-114.8686595,norbertkondla,cc-by-nc,2025-11-26 03:39:46.761913
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562471824/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4506333,-123.7146222,rose02mary,cc-by-nc,2025-11-26 03:39:46.698024
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562471743/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4506333,-123.7146222,rose02mary,cc-by-nc,2025-11-26 03:39:46.633302
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562474699/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4151222,-123.6295611,rose02mary,cc-by-nc,2025-11-26 03:39:46.567598
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562475513/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4195889,-123.6257250,rose02mary,cc-by-nc,2025-11-26 03:39:46.503726
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562477903/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4183361,-123.6062861,rose02mary,cc-by-nc,2025-11-26 03:39:46.438984
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/562478336/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.4186250,-123.6176750,rose02mary,cc-by-nc,2025-11-26 03:39:46.338620
